anon_item_id,anon_title_code,anon_product_id,anon_leaf_categ_id,anon_slr_id,anon_buyer_id,auct_start_dt,fdbk_score_start,fdbk_pstv_start,auct_end_dt,start_price_usd,photo_count,to_lst_cnt,bo_lst_cnt,count1,ref_price1,count2,ref_price2,count3,ref_price3,item_cndtn_id,view_item_count,wtchr_count,meta_categ_id,item_price,bo_ck_yn,ship_time_slowest,ship_time_fastest,ship_time_chosen,decline_price,accept_price,bin_rev,lstg_gen_type_id,store,ref_price4,count4,slr_us,buyer_us
14203427,3600167,547957,7728,4526559,6939083,22oct2012,750,100,23oct2012,24.99,2,73,22,0,24.99,0,24.99,,,3000,1,1,281,24.99,0,4,4,4,,,0,,0,,,1,1
59381948,19380965,547957,7728,4714470,6939083,23oct2012,666,99.7,23oct2012,14.99,2,174,92,0,14.99,0,14.99,,,3000,4,0,281,14.99,0,6,6,6,,,0,,0,,,1,1
80198356,6170651,547957,11757,9021923,6939083,29sep2012,2161,100,27dec2012,20,7,1607,317,0,20,0,20,,,3000,188,2,1,20,0,4,4,4,,,1,,1,,,1,1
25719899,22853526,547957,2018,8011809,6939083,07apr2013,306,100,07apr2013,39.99,4,27,25,0,39.99,0,39.99,,,3000,18,0,1,39.99,0,6,6,6,,,0,,0,,,1,1
93846615,38980194,547957,10096,1869637,676079,17dec2012,5379,99.96,11dec2013,18,1,8571,937,0,12,,,,,3000,49,1,11233,12,1,6,-1,6,,,1,,1,,,1,1
45545855,7093647,547957,10096,9822087,676079,12feb2013,13550,99.9,19aug2013,5,1,47269,16440,0,2.5,,,,,3000,1,1,11233,2.5,1,6,-1,6,0,3,0,1,1,,,1,1
33148706,8643149,547957,10096,5172094,676079,26may2013,172,100,29may2013,60,5,11,10,0,35,,,,,3000,10,1,11233,35,1,8,8,8,,,0,,0,,,1,1
47338069,12162918,547957,10096,5136726,676079,14jun2012,9379,99.97,29sep2012,89.95,1,72784,70,0,75,,,,,3000,21,1,11233,75,1,6,-1,6,75,0,0,1,1,,,1,1
37582505,14760505,547957,10096,4878247,676079,09feb2013,10867,99.9,10feb2013,14.95,1,9924,1029,0,10,,,,,3000,13,0,11233,10,1,8,-1,8,8,11.01,0,,0,,,1,1
49391777,14604293,547957,10096,4353880,676079,14nov2012,781,99.87,15nov2012,24.99,2,1914,1535,0,20,,,,,3000,3,1,11233,20,1,6,-1,6,19.99,22.99,0,1,0,,,1,1
31702160,34214764,547957,10096,769641,676079,28dec2012,2201,99.86,29dec2012,14.99,2,186,71,,,,,,,3000,8,0,11233,10,1,10,4,4,,,0,1,0,,,1,1
17413326,37824445,547957,10096,7616728,676079,27nov2012,2602,99.96,28dec2012,22,2,10905,214,0,15,,,,,3000,30,1,11233,15,1,10,-1,8,,,0,,0,,,1,1
80592785,18746126,547957,10096,198506,676079,17jul2012,5613,99.37,18oct2012,3.14,1,19700,748,0,3.14,0,3.14,,,,1,1,11233,3.14,0,8,-1,8,,,1,,0,,,1,1
77964021,5439628,547957,10096,6639853,676079,21jul2012,8930,99.94,25dec2012,199.99,1,7542,129,0,165,,,,,3000,139,1,11233,165,1,10,-1,6,150,0,1,,1,,,1,1
56182418,12880294,547957,10096,442860,676079,30nov2012,1174,100,01dec2012,55,2,418,6,0,55,0,55,,,3000,18,0,11233,55,0,6,6,6,0,35,0,1,0,,,1,1
65918192,5887653,547957,10096,9936717,676079,21may2013,1,100,17nov2013,199,2,4,2,0,125,,,,,3000,51,1,11233,125,1,4,-1,4,100,0,0,,0,,,1,1
16020247,11611818,547957,10096,4353880,676079,12nov2012,781,99.87,13nov2012,9.99,2,1235,866,0,7.5,,,,,3000,9,2,11233,7.5,1,6,-1,6,,,0,1,0,,,1,1
26318255,9908654,547957,2584,9822087,676079,09jul2012,9206,99.92,15jul2012,5,1,33072,2362,0,5,0,5,,,,8,0,11233,5,0,6,-1,6,0,3,0,,1,,,1,1
94473348,21238564,547957,10096,3462078,676079,25sep2012,4771,99.96,25sep2012,100,2,3394,170,0,100,0,100,,,3000,10,0,11233,100,0,10,4,8,,,0,,1,,,1,1
52342168,15161039,547957,10096,9822087,676079,28mar2013,14236,99.89,02sep2013,5,1,50699,19870,0,3,,,,,3000,26,0,11233,3,1,6,-1,6,0,3,0,1,1,,,1,1
92175321,41326099,547957,10096,4353880,676079,12nov2012,781,99.87,14nov2012,9.99,2,1235,866,0,7.5,,,,,3000,3,1,11233,7.5,1,6,-1,6,,,0,1,0,,,1,1
85875243,33384835,547957,10096,5577592,676079,17dec2012,1747,99.83,31dec2012,499,2,14885,10609,0,350,,,,,3000,28,2,11233,350,1,6,-1,6,,,0,1,1,,,1,1
58472215,40147715,547957,10096,4353880,676079,14nov2012,781,99.87,15nov2012,24.99,2,1914,1535,0,20,,,,,3000,2,0,11233,20,1,6,-1,6,19.99,22.99,0,1,0,,,1,1
10450600,21575045,547957,10096,4353880,676079,09nov2012,781,99.87,14nov2012,11.99,2,1010,698,0,10,,,,,3000,10,1,11233,10,1,6,-1,6,8,0,0,1,0,,,1,1
51090731,11563421,547957,10096,4878247,676079,05feb2013,10867,99.9,10feb2013,11.95,1,9909,1014,0,8,,,,,3000,13,0,11233,8,1,8,-1,8,6.75,7.01,0,,0,,,1,1
93813175,285312,547957,10096,4353880,676079,12nov2012,781,99.87,12nov2012,14.99,2,1235,866,0,10,,,,,3000,1,0,11233,10,1,6,-1,6,0,9.99,0,1,0,,,1,1
