anon_item_id,anon_thread_id,anon_byr_id,anon_slr_id,src_cre_dt,fdbk_score_src,fdbk_pstv_src,offr_type_id,status_id,offr_price,src_cre_date,response_time,slr_hist,byr_hist,any_mssg,byr_us
36044604,5477270,4314316,6799411,03jul2012,374,99.47,0,2,225,03jul2012 18:03:24,03jul2012 18:46:56,2,62,,1
381750,4892433,3853480,6799411,01jul2012,374,99.47,2,7,375,01jul2012 00:49:23,03jul2012 00:49:23,,,,0
381750,4892433,3853480,6799411,30jun2012,366,99.46,0,7,300,30jun2012 23:02:22,02jul2012 23:02:22,1,3,1,1
381750,4892433,3853480,6799411,01jul2012,366,99.46,1,9,350,01jul2012 06:31:11,01jul2012 06:31:11,,,,0
10611035,9431307,7430084,6799411,06jul2012,374,99.47,0,7,20,06jul2012 16:49:42,06jul2012 20:16:04,3,18,1,1
10611035,9431307,7430084,6799411,06jul2012,374,99.47,2,7,34,06jul2012 18:12:00,06jul2012 20:16:04,,,1,0
10611035,9431307,7430084,6799411,06jul2012,374,99.47,1,7,30,06jul2012 18:05:47,06jul2012 20:16:04,,,1,0
10611035,9431307,7430084,6799411,06jul2012,374,99.47,2,0,34,06jul2012 20:14:59,06jul2012 20:16:04,,,1,0
10611035,9431307,7430084,6799411,06jul2012,374,99.47,2,7,38,06jul2012 18:00:16,06jul2012 20:16:04,,,1,0
10611035,9431307,7430084,6799411,06jul2012,374,99.47,1,7,32,06jul2012 18:22:27,06jul2012 20:16:04,,,1,0
23518226,11904558,1378604,4437257,13may2013,306,99.35,0,2,49.5,13may2013 07:30:24,13may2013 07:32:06,31,10,,1
338898,178592,140651,4437257,20apr2013,304,99.35,0,6,145,20apr2013 18:51:04,20apr2013 18:51:04,11,66,,1
85543510,9457011,7450325,4437257,03may2013,306,99.35,0,1,250,03may2013 07:53:40,03may2013 09:15:45,20,9,,1
86340099,8697675,6943916,4437257,26may2013,306,99.35,0,1,200,26may2013 18:20:28,26may2013 18:28:04,36,2,,1
16904638,13484356,9900948,4437257,12may2013,306,99.35,0,2,140,12may2013 20:12:01,12may2013 20:13:20,28,57,,1
62497360,5741511,4522730,4437257,06may2013,306,99.35,0,6,125,06may2013 13:54:37,06may2013 13:54:37,23,5,,0
16904638,9578516,8314761,4437257,17may2013,306,99.35,0,9,178,17may2013 16:10:17,17may2013 16:10:17,35,122,,1
98092942,6679799,5262464,4437257,07may2013,306,99.35,0,6,125,07may2013 18:40:39,07may2013 18:40:39,26,19,,1
10098039,12781040,10068418,4437257,12may2013,306,99.35,0,1,210,12may2013 20:41:14,12may2013 20:44:54,30,906,,1
68831985,5016011,3950854,4437257,29apr2013,304,99.35,0,6,225,29apr2013 11:34:00,29apr2013 11:34:00,17,109,,1
